,ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time,Unnamed: 10
195,20.0,20.0,100.0,30.0,1400.0,1400.0,0.016,0.1706,2.0,0.171,
196,20.0,20.0,100.0,30.0,1400.0,1400.0,0.016,0.1706,3.0,0.172,
200,20.0,20.0,100.0,30.0,1500.0,1500.0,0.006,0.1615,1.0,0.217,
201,20.0,20.0,100.0,30.0,1500.0,1500.0,0.006,0.1615,2.0,0.223,
202,20.0,20.0,100.0,30.0,1500.0,1500.0,0.006,0.1615,3.0,0.222,
203,20.0,20.0,100.0,30.0,1500.0,1500.0,0.01,0.1542,1.0,0.157,
204,20.0,20.0,100.0,30.0,1500.0,1500.0,0.01,0.1542,2.0,0.157,
205,20.0,20.0,100.0,30.0,1500.0,1500.0,0.01,0.1542,3.0,0.156,
206,20.0,20.0,100.0,30.0,1500.0,1500.0,0.012,0.1619,1.0,0.176,
207,20.0,20.0,100.0,30.0,1500.0,1500.0,0.012,0.1619,2.0,0.182,
208,20.0,20.0,100.0,30.0,1500.0,1500.0,0.012,0.1619,3.0,0.177,
209,20.0,20.0,100.0,30.0,1500.0,1500.0,0.014,0.1624,1.0,0.17,
210,20.0,20.0,100.0,30.0,1500.0,1500.0,0.014,0.1624,2.0,0.177,
211,20.0,20.0,100.0,30.0,1500.0,1500.0,0.014,0.1624,3.0,0.17,
212,20.0,20.0,100.0,30.0,1500.0,1500.0,0.016,0.1703,1.0,0.188,
213,20.0,20.0,100.0,30.0,1500.0,1500.0,0.016,0.1703,2.0,0.193,
214,20.0,20.0,100.0,30.0,1500.0,1500.0,0.016,0.1703,3.0,0.186,
218,20.0,20.0,100.0,30.0,1600.0,1600.0,0.006,0.1623,1.0,0.213,
219,20.0,20.0,100.0,30.0,1600.0,1600.0,0.006,0.1623,2.0,0.22,
220,20.0,20.0,100.0,30.0,1600.0,1600.0,0.006,0.1623,3.0,0.221,
221,20.0,20.0,100.0,30.0,1600.0,1600.0,0.01,0.1553,1.0,0.159,
222,20.0,20.0,100.0,30.0,1600.0,1600.0,0.01,0.1553,2.0,0.158,
223,20.0,20.0,100.0,30.0,1600.0,1600.0,0.01,0.1553,3.0,0.159,
224,20.0,20.0,100.0,30.0,1600.0,1600.0,0.012,0.1628,1.0,0.178,
225,20.0,20.0,100.0,30.0,1600.0,1600.0,0.012,0.1628,2.0,0.186,
226,20.0,20.0,100.0,30.0,1600.0,1600.0,0.012,0.1628,3.0,0.183,  
227,20.0,20.0,100.0,30.0,1600.0,1600.0,0.014,0.1631,1.0,0.172,
228,20.0,20.0,100.0,30.0,1600.0,1600.0,0.014,0.1631,2.0,0.173,
229,20.0,20.0,100.0,30.0,1600.0,1600.0,0.014,0.1631,3.0,0.173,
230,20.0,20.0,100.0,30.0,1600.0,1600.0,0.016,0.1694,1.0,0.179,
231,20.0,20.0,100.0,30.0,1600.0,1600.0,0.016,0.1694,2.0,0.175,
232,20.0,20.0,100.0,30.0,1600.0,1600.0,0.016,0.1694,3.0,0.177,
236,20.0,20.0,100.0,30.0,1700.0,1700.0,0.006,0.1631,1.0,0.217,
237,20.0,20.0,100.0,30.0,1700.0,1700.0,0.006,0.1631,2.0,0.216,
238,20.0,20.0,100.0,30.0,1700.0,1700.0,0.006,0.1631,3.0,0.221,
239,20.0,20.0,100.0,30.0,1700.0,1700.0,0.01,0.1566,1.0,0.168,
240,20.0,20.0,100.0,30.0,1700.0,1700.0,0.01,0.1566,2.0,0.161,
241,20.0,20.0,100.0,30.0,1700.0,1700.0,0.01,0.1566,3.0,0.166,
242,20.0,20.0,100.0,30.0,1700.0,1700.0,0.012,0.1642,1.0,0.18,
243,20.0,20.0,100.0,30.0,1700.0,1700.0,0.012,0.1642,2.0,0.184,
244,20.0,20.0,100.0,30.0,1700.0,1700.0,0.012,0.1642,3.0,0.186,
245,20.0,20.0,100.0,30.0,1700.0,1700.0,0.014,0.1641,1.0,0.174,
246,20.0,20.0,100.0,30.0,1700.0,1700.0,0.014,0.1641,2.0,0.172,
247,20.0,20.0,100.0,30.0,1700.0,1700.0,0.014,0.1641,3.0,0.175,
248,20.0,20.0,100.0,30.0,1700.0,1700.0,0.016,0.165,1.0,0.177,
249,20.0,20.0,100.0,30.0,1700.0,1700.0,0.016,0.165,2.0,0.182,
250,20.0,20.0,100.0,30.0,1700.0,1700.0,0.016,0.165,3.0,0.179,
254,20.0,20.0,100.0,30.0,2000.0,2000.0,0.006,0.1657,1.0,0.216,
