ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time,
20,20,100,20,2000,2000,0.016,0.2114,3,0.198,
20,20,100,20,2000,2000,0.02,0.2264,1,0.247,
20,20,100,20,2000,2000,0.02,0.2264,2,0.247,
20,20,100,20,2000,2000,0.02,0.2264,3,0.25,
,,,,,,,,,,
20,20,100,30,1400,1400,0.006,0.1608,1,0.212,
20,20,100,30,1400,1400,0.006,0.1608,2,0.211,
20,20,100,30,1400,1400,0.006,0.1608,3,0.219,
20,20,100,30,1400,1400,0.01,0.1534,1,0.157,
20,20,100,30,1400,1400,0.01,0.1534,2,0.154,
20,20,100,30,1400,1400,0.01,0.1534,3,0.155,
20,20,100,30,1400,1400,0.012,0.1608,1,0.181,
20,20,100,30,1400,1400,0.012,0.1608,2,0.183,
20,20,100,30,1400,1400,0.012,0.1608,3,0.183,
20,20,100,30,1400,1400,0.014,0.1622,1,0.167,
20,20,100,30,1400,1400,0.014,0.1622,2,0.165,
20,20,100,30,1400,1400,0.014,0.1622,3,0.165,
20,20,100,30,1400,1400,0.016,0.1706,1,0.172,
20,20,100,30,1400,1400,0.016,0.1706,2,0.171,
20,20,100,30,1400,1400,0.016,0.1706,3,0.172,
20,20,100,30,1400,1400,0.02,0.1821,1,발산,
20,20,100,30,1400,1400,0.02,0.1821,2,발산,
20,20,100,30,1400,1400,0.02,0.1821,3,발산,
20,20,100,30,1500,1500,0.006,0.1615,1,0.217,
20,20,100,30,1500,1500,0.006,0.1615,2,0.223,
20,20,100,30,1500,1500,0.006,0.1615,3,0.222,
20,20,100,30,1500,1500,0.01,0.1542,1,0.157,
20,20,100,30,1500,1500,0.01,0.1542,2,0.157,
20,20,100,30,1500,1500,0.01,0.1542,3,0.156,
20,20,100,30,1500,1500,0.012,0.1619,1,0.176,
20,20,100,30,1500,1500,0.012,0.1619,2,0.182,
20,20,100,30,1500,1500,0.012,0.1619,3,0.177,
20,20,100,30,1500,1500,0.014,0.1624,1,0.17,
20,20,100,30,1500,1500,0.014,0.1624,2,0.177,
20,20,100,30,1500,1500,0.014,0.1624,3,0.17,
20,20,100,30,1500,1500,0.016,0.1703,1,0.188,
20,20,100,30,1500,1500,0.016,0.1703,2,0.193,
20,20,100,30,1500,1500,0.016,0.1703,3,0.186,
20,20,100,30,1500,1500,0.02,0.181,1,발산,
20,20,100,30,1500,1500,0.02,0.181,2,발산,
20,20,100,30,1500,1500,0.02,0.181,3,발산,
20,20,100,30,1600,1600,0.006,0.1623,1,0.213,
20,20,100,30,1600,1600,0.006,0.1623,2,0.22,
20,20,100,30,1600,1600,0.006,0.1623,3,0.221,
20,20,100,30,1600,1600,0.01,0.1553,1,0.159,
20,20,100,30,1600,1600,0.01,0.1553,2,0.158,
20,20,100,30,1600,1600,0.01,0.1553,3,0.159,
20,20,100,30,1600,1600,0.012,0.1628,1,0.178,
20,20,100,30,1600,1600,0.012,0.1628,2,0.186,
20,20,100,30,1600,1600,0.012,0.1628,3,0.183,  
20,20,100,30,1600,1600,0.014,0.1631,1,0.172,
20,20,100,30,1600,1600,0.014,0.1631,2,0.173,
20,20,100,30,1600,1600,0.014,0.1631,3,0.173,
20,20,100,30,1600,1600,0.016,0.1694,1,0.179,
20,20,100,30,1600,1600,0.016,0.1694,2,0.175,
20,20,100,30,1600,1600,0.016,0.1694,3,0.177,
20,20,100,30,1600,1600,0.02,0.174,1,발산,
20,20,100,30,1600,1600,0.02,0.174,2,발산,
20,20,100,30,1600,1600,0.02,0.174,3,발산,
20,20,100,30,1700,1700,0.006,0.1631,1,0.217,
20,20,100,30,1700,1700,0.006,0.1631,2,0.216,
20,20,100,30,1700,1700,0.006,0.1631,3,0.221,
20,20,100,30,1700,1700,0.01,0.1566,1,0.168,
20,20,100,30,1700,1700,0.01,0.1566,2,0.161,
20,20,100,30,1700,1700,0.01,0.1566,3,0.166,
20,20,100,30,1700,1700,0.012,0.1642,1,0.18,
20,20,100,30,1700,1700,0.012,0.1642,2,0.184,
20,20,100,30,1700,1700,0.012,0.1642,3,0.186,
20,20,100,30,1700,1700,0.014,0.1641,1,0.174,
20,20,100,30,1700,1700,0.014,0.1641,2,0.172,
20,20,100,30,1700,1700,0.014,0.1641,3,0.175,
20,20,100,30,1700,1700,0.016,0.165,1,0.177,
20,20,100,30,1700,1700,0.016,0.165,2,0.182,
20,20,100,30,1700,1700,0.016,0.165,3,0.179,
20,20,100,30,1700,1700,0.02,0.1736,1,발산,
20,20,100,30,1700,1700,0.02,0.1736,2,발산,
20,20,100,30,1700,1700,0.02,0.1736,3,발산,
20,20,100,30,2000,2000,0.006,0.1657,1,0.216,
20,20,100,30,2000,2000,0.006,0.1657,2,0.214,
20,20,100,30,2000,2000,0.006,0.1657,3,0.214,
20,20,100,30,2000,2000,0.01,0.1672,1,0.164,
20,20,100,30,2000,2000,0.01,0.1672,2,0.172,
20,20,100,30,2000,2000,0.01,0.1672,3,0.165,
20,20,100,30,2000,2000,0.012,0.1681,1,0.192,
20,20,100,30,2000,2000,0.012,0.1681,2,0.195,
20,20,100,30,2000,2000,0.012,0.1681,3,0.195,
20,20,100,30,2000,2000,0.014,0.1673,1,0.188,
20,20,100,30,2000,2000,0.014,0.1673,2,0.185,
20,20,100,30,2000,2000,0.014,0.1673,3,0.18,
20,20,100,30,2000,2000,0.016,0.1672,1,0.176,
20,20,100,30,2000,2000,0.016,0.1672,2,0.172,
20,20,100,30,2000,2000,0.016,0.1672,3,0.18,
20,20,100,30,2000,2000,0.02,0.1753,1,0.182,
20,20,100,30,2000,2000,0.02,0.1753,2,0.189,
20,20,100,30,2000,2000,0.02,0.1753,3,0.191,
,,,,,,,,,,
20,20,100,40,1400,1400,0.006,0.1586,1,0.192,
20,20,100,40,1400,1400,0.006,0.1586,2,0.19,
20,20,100,40,1400,1400,0.006,0.1586,3,0.192,
20,20,100,40,1400,1400,0.01,0.1486,1,0.157,
20,20,100,40,1400,1400,0.01,0.1486,2,0.157,
20,20,100,40,1400,1400,0.01,0.1486,3,0.159,
20,20,100,40,1400,1400,0.012,0.1468,1,0.166,
20,20,100,40,1400,1400,0.012,0.1468,2,0.166,
20,20,100,40,1400,1400,0.012,0.1468,3,0.172,
20,20,100,40,1400,1400,0.014,0.1455,1,0.157,
20,20,100,40,1400,1400,0.014,0.1455,2,0.159,
20,20,100,40,1400,1400,0.014,0.1455,3,0.159,
20,20,100,40,1400,1400,0.016,0.1443,1,0.195,
20,20,100,40,1400,1400,0.016,0.1443,2,0.203,
20,20,100,40,1400,1400,0.016,0.1443,3,0.195,
20,20,100,40,1400,1400,0.02,0.1417,1,발산,
20,20,100,40,1400,1400,0.02,0.1417,2,발산,
20,20,100,40,1400,1400,0.02,0.1417,3,발산,
20,20,100,40,1500,1500,0.006,0.1588,1,0.196,
20,20,100,40,1500,1500,0.006,0.1588,2,0.193,
